exercise_id,name,spanish_name,coloquial_name,Músculo Principal,pattern,role,main_muscle,link,equipment,unilateral,level
ex_069,Plate Curl To Overhead Press To Tricep Extension,Curl con disco a press por encima de la cabeza a extensión de tríceps,,Bíceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/plate-curl-to-overhead-press-to-tricep-extension,machine,No,Avanzado
ex_070,Plate Overhead Tricep Extension,Extensión de tríceps por encima de la cabeza con disco,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/plate-overhead-tricep-extension,machine,No,Principiante
ex_071,Band Rapunzel Pushdown,Extensión de tríceps con banda (Rapunzel),,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/band-rapunzel-pushdown,machine,No,Principiante
ex_072,Plate Overhead Press To Tricep Extension,Press de hombros con disco a extensión de tríceps,,Hombros,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/plate-overhead-press-to-tricep-extension,machine,No,Intermedio
ex_073,Band Single Arm Pushdown,Jalón de tríceps con banda a un brazo,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/band-single-arm-pushdown,machine,Yes,Principiante
ex_074,Single Arm Rapunzel Pushdown,Extensión de tríceps en polea con un brazo (Rapunzel),,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/single-arm-rapunzel-pushdown,machine,Yes,Principiante
ex_075,Band Single Arm Skullcrusher,Press francés con banda a un brazo,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/band-single-arm-skullcrusher,machine,Yes,Principiante
ex_076,Dumbbell Single Arm Overhead Tricep Extension,Extensión De Tríceps Unilateral Con Mancuerna Por Encima De La Cabeza,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/dumbbell-single-arm-overhead-tricep-extension,dumbbell,Yes,Principiante
ex_077,Dumbbell Tate Press,Press Tate con mancuernas,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/dumbbell-tate-press,dumbbell,No,Intermedio
ex_078,Trx Skullcrusher,Extensión de tríceps en TRX,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/trx-skullcrusher,machine,No,Principiante
ex_079,Box Dips,Fondos en caja,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/box-dips,bodyweight,No,Intermedio
ex_080,Band Pushup,Flexiones con banda de resistencia,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/band-pushup,machine,No,Intermedio
ex_081,Barbell Floor Press,Press en el suelo con barra,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/barbell-floor-press,barbell,No,Avanzado
ex_082,Barbell Hooklying Bench Press,Press de banca con barra en posición hook-lying,,Abdominales,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/barbell-hooklying-bench-press,barbell,No,Avanzado
ex_083,Barbell Larsen Bench Press,Press de banca Larsen con barra,,Abdominales,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/barbell-larsen-bench-press,barbell,No,Avanzado
ex_084,Barbell Spoto Press,Press Spoto con barra,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/barbell-spoto-press,barbell,No,Avanzado
ex_085,Barbell Z Press,Z Press con barra,,Hombros,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/barbell-z-press,barbell,No,Avanzado
ex_086,Dumbbell Alternating Single Arm Press,Press Alterno Con Mancuerna A Un Brazo,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/dumbbell-alternating-single-arm-press,dumbbell,Yes,Intermedio
ex_087,Dumbbell Bench Press,Press de banca con mancuernas,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/dumbbell-bench-press,dumbbell,No,Principiante
ex_088,Dumbbell Decline Alternating Single Arm Press,"Press Declinado con Mancuernas, Alternando Brazos",,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/dumbbell-decline-alternating-single-arm-press,dumbbell,Yes,Intermedio
ex_089,Dumbbell Decline Bench Press,Press declinado con mancuernas,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/dumbbell-decline-bench-press,dumbbell,No,Principiante
ex_090,Dumbbell Decline Guillotine Bench Press,Press guillotina con mancuernas en banco declinado,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/dumbbell-decline-guillotine-bench-press,dumbbell,No,Avanzado
ex_091,Dumbbell Decline Neutral Bench Press,Press Declinado con Mancuernas (Agarre Neutro),,Hombros,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/dumbbell-decline-neutral-bench-press,dumbbell,No,Principiante
ex_092,Dumbbell Decline Single Arm Bench Press,Press de Banca Declinado con Mancuerna a Un Brazo,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/dumbbell-decline-single-arm-bench-press,dumbbell,Yes,Intermedio
ex_093,Dumbbell Decline Squeeze Press,Press Declinado Con Mancuernas Apretadas,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/dumbbell-decline-squeeze-press,dumbbell,No,Intermedio
ex_094,Dumbbell Guillotine Bench Press,Press Guillotina con Mancuernas,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/dumbbell-guillotine-bench-press,dumbbell,No,Avanzado
ex_095,Dumbbell Guillotine Incline Bench Press,Press Inclinado Guillotina con Mancuernas,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/dumbbell-guillotine-incline-bench-press,dumbbell,No,Avanzado
ex_096,Dumbbell Neutral Bench Press,Press de banca con mancuernas (agarre neutro),,Hombros,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/dumbbell-neutral-bench-press,dumbbell,No,Principiante
ex_097,Dumbbell Neutral Incline Bench Press,Press Inclinado con Mancuernas (Agarre Neutro),,Hombros,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/dumbbell-neutral-incline-bench-press,dumbbell,No,Principiante
ex_098,Dumbbell Neutral Seated Overhead Press,Press de Hombros Sentado con Mancuernas (Agarre Neutral),,Hombros,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/dumbbell-neutral-seated-overhead-press,dumbbell,No,Principiante
ex_099,Dumbbell Seated Arnold Press,Press Arnold con mancuernas sentado,,Hombros,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/dumbbell-seated-arnold-press,dumbbell,No,Intermedio
ex_100,Dumbbell Squeeze Press,Press con mancuernas apretadas,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/dumbbell-squeeze-press,dumbbell,No,Principiante
ex_101,Dumbbell Single Arm Press,Press con mancuerna a un brazo,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/dumbbell-single-arm-press,dumbbell,Yes,Intermedio
ex_102,Dumbbell Alternating Arnold Press,Press Arnold Alterno Con Mancuernas,,Hombros,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/dumbbell-alternating-arnold-press,dumbbell,No,Avanzado
ex_103,Dumbbell Alternating Overhead Press,Press militar alterno con mancuernas,,Hombros,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/dumbbell-alternating-overhead-press,dumbbell,No,Intermedio
ex_104,Dumbbell Neutral Alternating Overhead Press,Press alterno con mancuernas (agarre neutro) por encima de la cabeza,,Hombros,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/dumbbell-neutral-alternating-overhead-press,dumbbell,No,Intermedio
ex_105,Dumbbell Neutral Overhead Press,Press Militar con Mancuernas (Agarre Neutro),,Hombros,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/dumbbell-neutral-overhead-press,dumbbell,No,Principiante
ex_106,Dumbbell Overhead Press,Press militar con mancuernas,,Hombros,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/dumbbell-overhead-press,dumbbell,No,Principiante
ex_107,Dumbbell Push Press,Push press con mancuernas,,Hombros,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/dumbbell-push-press,dumbbell,No,Intermedio
ex_108,Dumbbell Single Arm Arnold Press,Press Arnold con mancuerna a un brazo,,Hombros,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/dumbbell-single-arm-arnold-press,dumbbell,Yes,Intermedio
ex_109,Dumbbell Single Arm Neutral Overhead Press,Press unilateral con mancuerna (agarre neutro) por encima de la cabeza,,Hombros,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/dumbbell-single-arm-neutral-overhead-press,dumbbell,Yes,Principiante
ex_110,Dumbbell Single Arm Overhead Press,Press militar con mancuerna a un brazo,,Hombros,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/dumbbell-single-arm-overhead-press,dumbbell,Yes,Principiante
ex_111,Plate Squat Hold Reach,Sentadilla estática con disco y alcance,,Glúteos,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/plate-squat-hold-reach,machine,No,Intermedio
ex_112,Plate Deficit Pushup,Flexión en déficit con discos,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/plate-deficit-pushup,machine,No,Avanzado
ex_113,Dumbbell Elevated Pushup,Flexión con mancuernas elevadas,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/dumbbell-elevated-pushup,dumbbell,No,Intermedio
ex_114,Trx Pushup,Flexión en TRX,,Hombros,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/trx-pushup,machine,No,Principiante
ex_115,Child Pose Elbows On Block,Postura del niño — codos sobre bloque,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/child-pose-elbows-on-block,machine,No,Principiante
ex_116,One Arm Cow Face Pose,Postura de la cara de vaca con un brazo,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/one-arm-cow-face-pose,machine,Yes,Principiante
ex_117,Pyramid Prayer,Ritual de la Pirámide,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/pyramid-prayer,machine,No,Principiante
ex_118,Landmine Lying Tricep Extension,Extensión de Tríceps Acostado con Landmine,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/landmine-lying-tricep-extension,barbell,No,Intermedio
ex_119,Walkover Pushup,Flexión Con Paso Por Encima Del Balón Medicinal,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/walkover-pushup,machine,No,Intermedio
ex_120,Bosu Ball Pushup,Flexiones con Bosu Ball,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/bosu-ball-pushup,machine,No,Intermedio
ex_121,Vitruvian Push Up,Flexión Vitruviana,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/vitruvian-push-up,machine,No,Intermedio
ex_122,Kettlebell Guillotine Bench Press,Press de Guillotina con Pesa Rusa,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/kettlebell-guillotine-bench-press,machine,No,Intermedio
ex_123,Cable Bar Pushdown,Extensión de tríceps en polea con barra,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/cable-bar-pushdown,cable,No,Principiante
ex_124,Cable Bar Reverse Grip Pushdown,Jalón de tríceps en polea con barra (agarre supinado),,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/cable-bar-reverse-grip-pushdown,cable,No,Principiante
ex_125,Cable Tricep Kickback,Patada de tríceps en polea,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/cable-tricep-kickback,cable,No,Principiante
ex_126,Cable Single Arm Rope Pushdown,Extensión de tríceps en polea con cuerda a un brazo,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/cable-single-arm-rope-pushdown,cable,Yes,Principiante
ex_127,Cable Single Arm Cross Pushdown,Jalón de tríceps en polea a una mano (cruzado),,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/cable-single-arm-cross-pushdown,cable,Yes,Principiante
ex_128,Cable Single Arm Skullcrusher,Extensión de tríceps con cable a un brazo,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/cable-single-arm-skullcrusher,cable,Yes,Principiante
ex_129,Dumbbell Floor Press,Press de suelo con mancuernas,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/dumbbell-floor-press,dumbbell,No,Principiante
ex_130,Dumbbell Incline Skullover,Pullover inclinado con mancuerna,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/dumbbell-incline-skullover,dumbbell,No,Avanzado
ex_131,Bodyweight Box Assisted Dips,Fondos Asistidos en Caja (Con Peso Corporal),,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/bodyweight-box-assisted-dips,bodyweight,No,Principiante
ex_132,Bodyweight Clapping Push Up,Flexión con palmada,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/bodyweight-clapping-push-up,bodyweight,No,Intermedio
ex_133,Bodyweight Diamond Knee Push Ups,Flexiones Diamante Con Rodillas Apoyadas (Peso Corporal),,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/bodyweight-diamond-knee-push-ups,bodyweight,No,Principiante
ex_134,Bodyweight Elevated Push Up,Flexión con manos elevadas (peso corporal),,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/bodyweight-elevated-push-up,bodyweight,No,Intermedio
ex_135,Bodyweight Explosive Push Up,Flexión explosiva con peso corporal,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/bodyweight-explosive-push-up,bodyweight,No,Avanzado
ex_136,Bodyweight Incline Knee Push Up,Flexión inclinada con rodillas apoyadas (peso corporal),,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/bodyweight-incline-knee-push-up,bodyweight,No,Principiante
ex_137,Bodyweight Knee Push Ups,Flexiones De Rodillas (Peso Corporal),,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/bodyweight-knee-push-ups,bodyweight,No,Principiante
ex_138,Bodyweight Knee Tricep Extension,Extensión de Tríceps de Rodillas con Peso Corporal,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/bodyweight-knee-tricep-extension,bodyweight,No,Principiante
ex_139,Bodyweight Tricep Extension,Extensión de tríceps con peso corporal,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/bodyweight-tricep-extension,bodyweight,No,Intermedio
ex_140,Kettlebell Bottoms Up Overhead Press,Press Militar Bottoms Up Con Pesa Rusa,,Hombros,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/kettlebell-bottoms-up-overhead-press,machine,No,Avanzado
ex_141,Kettlebell Bottoms Up Single Arm Overhead Press,Press de Hombro a una Mano con Kettlebell en Posición Invertida,,Hombros,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/kettlebell-bottoms-up-single-arm-overhead-press,machine,Yes,Avanzado
ex_142,Kettlebell Floor Press,Press de Piso con Kettlebell,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/kettlebell-floor-press,machine,No,Principiante
ex_143,Kettlebell Overhead Tricep Extension,Extensión de Tríceps por Encima de la Cabeza con Kettlebell,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/kettlebell-overhead-tricep-extension,machine,No,Intermedio
ex_144,Kettlebell Single Arm Floor Press,Prensa de Suelo con Kettlebell a un Brazo,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/kettlebell-single-arm-floor-press,machine,Yes,Principiante
ex_145,Smith Machine Bodyweight Skullcrusher,Press francés en Smith Machine con peso corporal,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/smith-machine-bodyweight-skullcrusher,machine,No,Principiante
ex_146,Smith Machine Close Grip Bench Press,Press de Banca con Agarre Estrecho en Smith Machine,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/smith-machine-close-grip-bench-press,machine,No,Principiante
ex_147,Smith Machine Guillotine Bench Press,Press Guillotina de Banca en Máquina Smith,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/smith-machine-guillotine-bench-press,machine,No,Intermedio
ex_148,Smith Machine Skullcrusher,Smith Machine Press Francés,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/smith-machine-skullcrusher,machine,No,Intermedio
ex_149,Band Single Arm Chest Press,Press de pecho unilateral con banda,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/band-single-arm-chest-press,machine,Yes,Principiante
ex_150,Kettlebell Chest Press Single,Press de Pecho con Pesa Rusa (Unilateral),,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/kettlebell-chest-press-single,machine,Yes,Principiante
ex_151,Kettlebell Single Arm Press,Press con kettlebell a un brazo,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/kettlebell-single-arm-press,machine,Yes,Principiante
ex_152,Kettlebell Walkover Pushup,Flexión con paso sobre la pesa rusa,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/kettlebell-walkover-pushup,machine,No,Avanzado
ex_153,Incline Push Up,Flexión inclinada,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/incline-push-up,bodyweight,No,Principiante
ex_154,Decline Push Up,Flexión declinada,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/decline-push-up,bodyweight,No,Principiante
ex_155,Landmine Alternating Single Arm Press,Press alterno a un brazo en landmine,,Hombros,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/landmine-alternating-single-arm-press,barbell,Yes,Intermedio
ex_156,Landmine Kneeling Alternating Overhead Press,Press Alterno Sobre La Cabeza Con Landmine De Rodillas,,Hombros,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/landmine-kneeling-alternating-overhead-press,barbell,No,Intermedio
ex_157,Landmine Kneeling Overhead Press,Press por encima de la cabeza arrodillado con landmine,,Hombros,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/landmine-kneeling-overhead-press,barbell,No,Intermedio
ex_158,Landmine Overhead Press,Press de hombros con landmine,,Hombros,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/landmine-overhead-press,barbell,No,Intermedio
ex_159,Landmine Seated Alternating Overhead Press,Press Alterno Sentado con Landmine,,Hombros,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/landmine-seated-alternating-overhead-press,barbell,No,Intermedio
ex_160,Landmine Seated Overhead Press,Press Militar Sentado en Landmine,,Hombros,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/landmine-seated-overhead-press,barbell,No,Intermedio
ex_161,Landmine Seated Single Arm Overhead Press,Press unilateral sentado con landmine por encima de la cabeza,,Hombros,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/landmine-seated-single-arm-overhead-press,barbell,Yes,Intermedio
ex_162,Landmine Single Arm Chest Press,Press De Pecho Unilateral Con Landmine,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/landmine-single-arm-chest-press,barbell,Yes,Intermedio
ex_163,Landmine Single Arm Overhead Press,Press con landmine a un brazo por encima de la cabeza,,Hombros,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/landmine-single-arm-overhead-press,barbell,Yes,Intermedio
ex_164,Landmine Single Arm Push Press,Press unilateral con landmine,,Hombros,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/landmine-single-arm-push-press,barbell,Yes,Intermedio
ex_165,Landmine Single Arm Staggered Overhead Press,Press Unilateral Con Landmine En Postura Escalonada,,Hombros,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/landmine-single-arm-staggered-overhead-press,barbell,Yes,Intermedio
ex_166,Dumbbell Arnold Press,Press Arnold con mancuernas,,Hombros,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/dumbbell-arnold-press,dumbbell,No,Intermedio
ex_167,Neutral Chest Press,Press De Pecho Con Agarre Neutro,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/neutral-chest-press,machine,No,Principiante
ex_168,Chest Press Partner Toss,Press de pecho con balón medicinal — lanzamiento en pareja,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/chest-press-partner-toss,machine,No,Principiante
ex_169,Medicine Ball Push Up,Flexión con balón medicinal,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/medicine-ball-push-up,machine,No,Intermedio
ex_170,Kettlebell Bench Press,Press de banca con pesa rusa,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/kettlebell-bench-press,machine,No,Principiante
ex_171,Kettlebell High Incline Bench Press,Press Inclinado Alto con Pesa Rusa,,Deltoides Anterior,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/kettlebell-high-incline-bench-press,machine,No,Principiante
ex_172,Kettlebell Incline Bench Press,Press Inclinado Con Kettlebells,,Deltoides Anterior,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/kettlebell-incline-bench-press,machine,No,Principiante
ex_173,Kettlebell Push Press,Push Press con Pesa Rusa,,Hombros,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/kettlebell-push-press,machine,No,Principiante
ex_174,Kettlebell Seated Overhead Press,Press Militar Sentado con Pesa Rusa,,Hombros,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/kettlebell-seated-overhead-press,machine,No,Principiante
ex_175,Kettlebell Single Arm Clean And Press,Cargada y press con pesa rusa a un brazo,,Glúteos,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/kettlebell-single-arm-clean-and-press,machine,Yes,Intermedio
ex_176,Cable Single Arm Bench Press,Press de banca con cable a un brazo,,Deltoides Anterior,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/cable-single-arm-bench-press,cable,Yes,Principiante
ex_177,Cable Single Arm Incline Bench Press,Press inclinado en polea con un brazo,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/cable-single-arm-incline-bench-press,cable,Yes,Principiante
ex_178,Band Chest Press,Press de pecho con banda elástica,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/band-chest-press,machine,No,Principiante
ex_179,Band Overhead Press,Press militar con banda,,Hombros,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/band-overhead-press,machine,No,Principiante
